area,event_name,start_time,end_time,label,label_source,label_strength,review_status,evidence_link,evidence_type,source_status,source_reference,area_mapping_confidence,evidence_is_placeholder,required_evidence_missing,promotion_blocked_reason,review_priority,recommended_next_action
parramatta,Candidate elevated warning window for review,2026-06-29 00:00:00+00:00,2026-06-29 12:00:00+00:00,1,warning_derived,moderate,candidate_review,https://example.test/floodguard/labels/parramatta-warning-window,unknown,unknown,,unknown,True,True,,high,"Replace placeholder link with a real warning archive, gauge record, council report, road closure notice, or verified local impact source."
toongabbie,Candidate local impact window for review,2026-06-30 00:00:00+00:00,2026-06-30 06:00:00+00:00,1,impact_candidate,weak,candidate_review,https://example.test/floodguard/labels/toongabbie-impact-window,unknown,unknown,,unknown,True,True,,high,"Replace placeholder link with a real warning archive, gauge record, council report, road closure notice, or verified local impact source."
north-parramatta,North Parramatta gauge-threshold candidate window,2026-06-12 05:24:44.242000+00:00,2026-06-12 05:24:44.242000+00:00,1,gauge_threshold,weak,candidate_review,,gauge_threshold,mixed,history:north-parramatta,high,False,True,Needs a reviewed gauge archive or expert-confirmed event window before promotion.,medium,Review the linked evidence and decide whether this can be upgraded to reviewed_for_shadow_mode.
north-parramatta,North Parramatta gauge-threshold candidate window,2026-06-13 06:44:51.865000+00:00,2026-06-13 06:54:32.863000+00:00,1,gauge_threshold,weak,candidate_review,,gauge_threshold,stale,history:north-parramatta,high,False,True,Needs a reviewed gauge archive or expert-confirmed event window before promotion.,medium,Review the linked evidence and decide whether this can be upgraded to reviewed_for_shadow_mode.
north-parramatta,North Parramatta gauge-threshold candidate window,2026-06-14 09:33:49.773000+00:00,2026-06-14 09:39:37.035000+00:00,1,gauge_threshold,weak,candidate_review,,gauge_threshold,stale,history:north-parramatta,high,False,True,Needs a reviewed gauge archive or expert-confirmed event window before promotion.,medium,Review the linked evidence and decide whether this can be upgraded to reviewed_for_shadow_mode.
north-parramatta,North Parramatta gauge-threshold candidate window,2026-06-15 01:13:35.760000+00:00,2026-06-15 06:38:42.695000+00:00,1,gauge_threshold,weak,candidate_review,,gauge_threshold,stale,history:north-parramatta,high,False,True,Needs a reviewed gauge archive or expert-confirmed event window before promotion.,medium,Review the linked evidence and decide whether this can be upgraded to reviewed_for_shadow_mode.
north-parramatta,North Parramatta gauge-threshold candidate window,2026-06-16 03:00:15.700000+00:00,2026-06-16 03:00:56.085000+00:00,1,gauge_threshold,weak,candidate_review,,gauge_threshold,stale,history:north-parramatta,high,False,True,Needs a reviewed gauge archive or expert-confirmed event window before promotion.,medium,Review the linked evidence and decide whether this can be upgraded to reviewed_for_shadow_mode.
north-parramatta,North Parramatta gauge-threshold candidate window,2026-06-21 13:58:15.637000+00:00,2026-06-21 13:58:15.637000+00:00,1,gauge_threshold,weak,candidate_review,,gauge_threshold,stale,history:north-parramatta,high,False,True,Needs a reviewed gauge archive or expert-confirmed event window before promotion.,medium,Review the linked evidence and decide whether this can be upgraded to reviewed_for_shadow_mode.
north-parramatta,North Parramatta gauge-threshold candidate window,2026-06-22 07:05:30.302000+00:00,2026-06-22 14:15:54.908000+00:00,1,gauge_threshold,weak,candidate_review,,gauge_threshold,stale,history:north-parramatta,high,False,True,Needs a reviewed gauge archive or expert-confirmed event window before promotion.,medium,Review the linked evidence and decide whether this can be upgraded to reviewed_for_shadow_mode.
north-parramatta,North Parramatta gauge-threshold candidate window,2026-06-24 14:07:13.158000+00:00,2026-06-24 14:07:13.158000+00:00,1,gauge_threshold,weak,candidate_review,,gauge_threshold,stale,history:north-parramatta,high,False,True,Needs a reviewed gauge archive or expert-confirmed event window before promotion.,medium,Review the linked evidence and decide whether this can be upgraded to reviewed_for_shadow_mode.
